|core|time|
|1|318.3051238|
|2|159.95369899999997|
|3|110.87302180000002|
|4|84.6358272|
|5|68.50597139999999|
|6|57.5948616|
|7|50.10966319999999|
|8|44.1030538|
|9|39.9168236|
|10|35.350241600000004|
|11|32.11680079999999|
|12|30.0107348|
|13|27.7888314|
|14|26.1435296|
|15|24.301113|
|16|22.7940318|
|17|21.572220199999997|
|18|21.086601|
|19|19.469224|
|20|19.044947200000003|
|21|18.2575904|
|22|17.0437554|
|23|16.317535400000004|
|24|16.7933542|
|25|16.162989|
|26|15.195629400000001|
|27|14.576134|
|28|14.8967152|
|29|14.1728408|
|30|13.496354200000003|
|31|13.4885842|
|32|13.012876600000002|
|33|12.899770999999998|
|34|12.6453428|
|35|12.370817800000001|
|36|12.735395|
|37|11.9360848|
|38|12.2570248|
|39|11.9209054|
