|core|width|time|
|1|51840.0000000000|144.7527478|
|2|103680.0000000000|146.424149|
|3|155520.0000000000|152.6075982|
|4|207360.0000000000|155.12936259999998|
|5|259200.0000000000|156.519531|
|6|311040.0000000000|157.38292080000002|
|7|362880.0000000000|159.2260816|
|8|414720.0000000000|161.7089236|
|9|466560.0000000000|158.58715800000002|
|10|518400.0000000000|159.063028|
|11|570240.0000000000|161.4157108|
|12|622080.0000000000|161.96546619999998|
|13|673920.0000000000|165.0330198|
|14|725760.0000000000|161.40858699999995|
|15|777600.0000000000|159.85018159999998|
|16|829440.0000000000|162.3163586|
|17|881280.0000000000|164.65797500000002|
|18|933120.0000000000|168.5438832|
|19|984960.0000000000|170.5844172|
|20|1036800.0000000000|171.6472248|
|21|1088640.0000000000|171.93168780000002|
|22|1140480.0000000000|171.9720788|
|23|1192320.0000000000|171.06282579999998|
|24|1244160.0000000000|170.3099508|
|25|1296000.0000000000|173.78811839999997|
|26|1347840.0000000000|172.374744|
|27|1399680.0000000000|171.61267819999998|
|28|1451520.0000000000|173.8131762|
|29|1503360.0000000000|172.1295152|
|30|1555200.0000000000|176.66917800000002|
|31|1607040.0000000000|172.397038|
|32|1658880.0000000000|176.45886679999998|
|33|1710720.0000000000|172.7772394|
|34|1762560.0000000000|176.7969744|
|35|1814400.0000000000|172.68494800000002|
|36|1866240.0000000000|175.987653|
|37|1918080.0000000000|178.4856332|
|38|1969920.0000000000|173.2880966|
|39|2021760.0000000000|174.3377624|
